SiteState,state,SiteCity,SiteZipCode,total exports,beef,pork,poultry,dairy,fruits fresh,fruits proc,total fruits,veggies fresh,veggies proc,total veggies,corn,wheat,cotton,Country,SiteName,Lat,Lon
SD,South Dakota,Pierre,57501,3770.19,228.7,11.1,225.4,929.95,2791.8,5944.6,8736.4,803.2,1303.5,2106.79,34.6,249.3,0,USA,N/A,44.52084732,-100.3052597
TN,Tennessee,Memphis,37501,1535.13,51.1,17.6,82.4,21.18,2,4.2,6.23,9.4,15.3,24.67,88.8,100,363.83,USA,N/A,35.00239944,-89.93676758
TX,Texas,Dallas,75001,6648.22,961,42.7,339.2,240.55,31.9,68,99.9,43.9,71.3,115.23,167.2,309.7,2308.76,USA,N/A,32.77814865,-96.79540253
UT,Utah,Salt Lake City,84044,453.39,27.9,59,23.1,48.6,3.9,8.4,12.34,2.5,4.1,6.6,5.3,42.8,0,USA,N/A,40.76031113,-111.8882217
VT,Vermont,Burlington,5401,180.14,6.2,0.2,0.9,65.98,2.6,5.4,8.01,1.5,2.5,4.05,0,0,0,USA,N/A,44.47592926,-73.21276855
VA,Virginia,Richmond,23173,1146.48,39.5,16.9,164.7,47.85,11.7,24.8,36.48,10.4,16.9,27.25,39.5,77.5,64.84,USA,N/A,37.57341385,-77.54096222
WA,Washington,Seattle,98101,3894.81,59.2,0,35.6,154.18,555.6,1183,1738.57,138.7,225.1,363.79,29.5,786.3,0,USA,N/A,47.61129379,-122.3345947
WV,West Virginia,Morgantown,26501,138.89,12,0.3,45.4,3.9,3.7,7.9,11.54,0,0,0,3.5,1.6,0,USA,N/A,39.62215042,-79.95622253
WI,Wisconsin,Milwaukee,53172,3090.23,107.3,38.6,34.5,633.6,42.8,91,133.8,56.8,92.2,148.99,460.5,96.7,0,USA,N/A,42.92551422,-87.86192322
WY,Wyoming,Jackson,83002,349.69,75.1,33.2,0.1,2.89,0.1,0.1,0.17,3.9,6.3,10.23,9,20.7,0,USA,N/A,43.47026062,-110.7863693
CA,California,los angelos,90001,16472.88,228.7,11.1,225.4,929.95,2791.8,5944.6,8736.4,803.2,1303.5,2106.79,34.6,249.3,0,USA,N/A,34.052235,-118.243683
FL,Florida,miami,33018,1488.9,22.2,5.8,17.7,331.8,64.7,137.8,202.56,54.7,88.7,143.37,106.1,29.9,0,USA,N/A,25.7617,-80.1918
CA,California,Oakland,94577,278.37,1.4,0.5,10.4,16.18,16.6,35.4,52.01,24,38.9,62.9,0,0,0,USA,N/A,37.8044,-122.2711
